strategy,threads,tps_mean,tps_ci_low,tps_ci_high,tps_margin,p99_mean,p99_ci_low,p99_ci_high,p99_margin,avg_beta,n_runs
Static Naive,256,20995.348677677513,18584.574595726473,23406.122759628553,2410.77408195104,14.59451001137495,8.382389918859698,20.806630103890203,6.212120092515253,-6.1003471704666525,10
Static Optimal,32,18414.414503220647,16303.77776497648,20525.051241464815,2110.6367382441676,2.4388399440795183,1.839055307868478,3.0386245802905587,0.5997846362110404,-15.787391690126627,10
Adaptive,4-64,6168.870804891409,6094.330718180195,6243.4108916026225,74.54008671121392,0.8178099989891052,0.7395282137663141,0.8960917842118964,0.07828178522279117,-16.17400802584579,10
