workload,beta_mean,beta_std,optimal_n,adaptive_n,optimal_tps_mean,optimal_tps_ci_low,optimal_tps_ci_high,adaptive_tps_mean,adaptive_tps_ci_low,adaptive_tps_ci_high,efficiency,veto_events,n_runs
Vision Pipeline,0.8848218027348328,0.18051993202590402,128,96,256.0,256.0,256.0,256.0,256.0,256.0,100.0,10,10
Voice Assistant,0.7544419288946609,0.05258075556952005,8,7,50.13333333333333,49.32901078654076,50.9376558801259,47.13333333333333,46.42955110488983,47.837115561776834,94.0159574468085,0,10
Sensor Fusion,0.9418126212083118,0.17912369977505144,32,31,803.2,796.918040089589,809.4819599104111,781.2,771.8497503935364,790.5502496064637,97.2609561752988,0,10
RAG Orchestration,1.0,0.0,8,7,153.86666666666667,149.94172922062648,157.79160411270686,135.56666666666666,132.68094497027283,138.4523883630605,88.10658578856152,0,10
SLM Inference,0.5225208390681184,0.2622063726568176,8,7,37.6,35.92969878483245,39.27030121516755,38.03333333333333,36.65915460293091,39.40751206373575,101.15248226950354,0,10
Edge Analytics,0.9371703705985441,0.15523958954058062,48,46,491.2,450.4465552283158,531.9534447716842,510.6,480.42747524033024,540.7725247596697,103.94951140065147,0,10
ONNX MobileNetV2,0.656654479404414,0.09395478918948236,8,7,33.06666666666666,31.73284861759965,34.400484715733676,31.5,30.31972132188304,32.68027867811696,95.26209677419357,0,10
