threads,run,elapsed,tps,avg_lat,p50_lat,p95_lat,p99_lat
1,0,4.064876607000002,4920.198553028301,0.19395176440000875,0.17566300000027013,0.27557500000341406,0.3652049999942619
1,1,4.167785928999997,4798.710956058802,0.19955220820003844,0.17840400000324053,0.2782680000024129,0.3632519999996475
1,2,4.128850943000003,4843.962709263633,0.1978261374500292,0.17785100000367038,0.2683179999962704,0.361601000001599
1,3,3.988544011000002,5014.361116448012,0.19113085860000503,0.17698199999927056,0.249343000000124,0.33072000000089474
1,4,4.031338701999999,4961.13114734759,0.1931726373000046,0.17765300000149864,0.252189999997654,0.33699400000131163
1,5,4.025582231000001,4968.225427364272,0.19284012105002724,0.17670399999758502,0.25679000000167207,0.3473970000058557
1,6,4.028970889000007,4964.046787879376,0.19319753520007837,0.17680499999528365,0.2554989999907775,0.34395299999800955
1,7,4.013017026,4983.7814966698825,0.19223243365002035,0.17612599999949907,0.25435000000584296,0.33561600000098224
1,8,4.050421952999997,4937.757160136549,0.19432683645000495,0.17559799999844472,0.25871200000437966,0.3828910000009955
1,9,3.9933266639999943,5008.355609948175,0.19171638915001168,0.17234599999937927,0.27258900000504127,0.3923729999968373
2,0,1.9981627180000032,10009.194856772405,0.19368691219993436,0.17438900000854574,0.23798200000157976,0.34968899998943925
2,1,2.005212315999998,9974.00616404354,0.19438474190004912,0.17641700000581295,0.24245199999484157,0.3407939999959808
2,2,2.026152815000003,9870.923778273836,0.19673711974996663,0.17549499999347518,0.23926700001197787,0.3621879999968769
2,3,2.0234487630000046,9884.114866515132,0.19578913595004935,0.17644400000449423,0.25305200000502737,0.36558499999728156
2,4,2.0320705209999943,9842.178110116905,0.19674000529998636,0.17653399999062458,0.2524260000029699,0.3590620000011313
2,5,1.9360230380000019,10330.45558210965,0.1872374283500676,0.16564799999230218,0.2415680000069642,0.3403639999959296
2,6,1.9113319279999956,10463.907240291779,0.18486454460002477,0.1647269999978107,0.23592799999505587,0.3325039999992896
2,7,1.903279136000009,10508.180130652105,0.1842247695500447,0.16480499999715903,0.2314210000093908,0.3271639999979925
2,8,1.9838486579999994,10081.414184166062,0.19221495939999755,0.17688399999826743,0.24809500000344542,0.35277800000699244
2,9,2.0438958240000034,9785.23453355809,0.19696024695002876,0.1775620000046274,0.2502749999990783,0.35697899998865523
4,0,1.0599366160000017,18869.052826456907,0.20562924460002066,0.17741899999634825,0.24046699999757948,0.3877340000002505
4,1,1.0630158869999917,18814.39425749632,0.2069029466000515,0.1778240000049891,0.24471399999015375,0.37546300001167765
4,2,1.0695382139999907,18699.659103531736,0.20844836554999588,0.1780860000053508,0.2626229999975749,0.41256800000155636
4,3,1.0385871430000009,19256.93008506652,0.20135277844995797,0.1760520000004817,0.22868500001038683,0.35435500001312903
