cpu_iterations,io_sleep_ms,workload_desc,threads,run,tps,avg_lat_ms,p99_lat_ms,avg_beta,optimal_threads
100,1.0,"IO Heavy (100 iter, 1.0ms)",8,0,6436.035583602472,1.2357777698001144,1.5878500000212625,0.9952751196868171,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",8,1,6625.92134082283,1.2003229041001418,1.5906490000361373,0.9949294340799403,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",8,2,6804.259411140875,1.1693190322004057,1.4408389999971405,0.9952672258910797,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",8,3,6581.991171265866,1.207854316399704,1.5105130000279132,0.9950846963603043,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",8,4,6323.761560306359,1.2581604271998912,1.990431000024273,0.9954104730366595,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",16,0,13700.535487347683,1.1566095290002523,1.5149480000218318,0.9969766865833789,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",16,1,13700.279782044137,1.1616777843997341,1.6769060000001446,0.9969320906042816,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",16,2,13630.22297928587,1.1676076454000395,1.6008249999686086,0.9970486923156888,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",16,3,14099.417911452916,1.1272784672991178,1.3188430000354856,0.9964891334312347,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",16,4,13925.251860389666,1.1407667506005736,1.327133000017966,0.9965190886869547,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",32,0,26297.66014359776,1.1980011957004308,6.077011999991555,0.9968345574230477,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",32,1,26828.376026700982,1.1728767078003102,6.026530999974966,0.9970586408036229,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",32,2,25933.904068883217,1.2126448874005178,6.096501000001808,0.9969856088340586,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",32,3,26613.508489965454,1.1880592959005867,6.1671370000340175,0.9969492252442546,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",32,4,26139.209278411738,1.2118691672002684,6.079677999991873,0.9969658722915139,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",64,0,45876.06874553133,1.3055808731996081,8.746780000024046,0.9968266881977553,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",64,1,45847.67152397318,1.2907524173002798,6.081914999981564,0.9970501671047619,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",64,2,44993.738401414565,1.3435300818998144,11.50181600007727,0.9971038317092928,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",64,3,46128.626640141774,1.2898539800007485,6.11317000004874,0.997240054634167,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",64,4,44526.33074142501,1.3938402001008625,11.11820199992053,0.9972374210681343,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",128,0,66897.94937916931,1.3891815684999416,9.42291399996975,0.9971672563368542,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",128,1,70563.30552731761,1.4193911938000952,7.015302000013435,0.9973859612517716,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",128,2,66002.47452519943,1.4805131143001062,12.1685650000245,0.9972549312139711,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",128,3,69425.06665487641,1.4018883188998985,9.691022999959387,0.997140162297696,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",128,4,62769.26327018228,1.54442374589961,19.491377999997894,0.9972223874994178,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",256,0,63895.54744391014,1.5867800589999774,7.755395000003773,0.9975296099098098,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",256,1,72162.21633254038,1.5426914976008788,6.941337000057501,0.9973910043955131,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",256,2,63951.06730363402,1.3950269034006055,9.268086000020048,0.9974440611058991,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",256,3,69499.69332220136,1.535110977599345,6.634765999933734,0.9974384845845441,128
100,1.0,"IO Heavy (100 iter, 1.0ms)",256,4,64359.53978062855,1.722744746799742,17.06753700000263,0.9975262031231562,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",8,0,12551.7501283645,0.6318842222000853,0.8487439999953494,0.9840442404662523,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",8,1,12789.196423520001,0.6191365696006415,0.9179780000749815,0.9830688021582082,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",8,2,12957.652074895164,0.6108459596998046,0.928120000025956,0.9826494848666572,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",8,3,12689.046313116538,0.6241621831000771,0.8572020000201519,0.9825527119715904,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",8,4,12979.02555983687,0.6097928659003969,0.8558570000332111,0.9828777851624086,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",16,0,23664.663501804454,0.6649679059002551,5.529516000024159,0.9835715757551035,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",16,1,22958.224271530242,0.6820398069994666,1.446865000048092,0.9835037733169296,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",16,2,23728.54951285216,0.6663901503998317,1.5365960000508494,0.9839752910995603,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",16,3,22480.02732186824,0.7008820190004144,5.628773000012188,0.9836209292258797,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",16,4,22076.55410281433,0.7093486363005923,5.572548999907667,0.983008143707227,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",32,0,40945.59997886513,0.7607498672001384,5.585604000089006,0.9849754658941359,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",32,1,40795.28166016462,0.7388269307006453,5.6349949999230375,0.9860271260929535,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",32,2,42397.05252638717,0.7245356765000792,5.65132100007304,0.9860562138284412,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",32,3,42396.28212758757,0.7136307275004355,5.617219999976442,0.9854057926415177,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",32,4,41585.94453626567,0.7487122462002389,5.628689999980452,0.9857702773005953,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",64,0,57869.38344285232,0.9735744449999402,12.969581999982438,0.9864728751905502,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",64,1,56034.38933576914,0.9440630185996725,6.802864999940539,0.9867157439927129,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",64,2,59649.26008406176,0.9626119740998889,14.72086399996897,0.9865647246074702,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",64,3,61131.72265628656,0.8443013090009913,6.1828770000147415,0.9867572368623374,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",64,4,54441.20280956312,1.0187991020999108,11.967473000026985,0.9866063836707116,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",128,0,54805.74236153414,1.0771587861005514,12.46048799998789,0.9870727517901302,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",128,1,54588.65104126449,1.1042033712000716,20.7967669999789,0.9873381913497425,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",128,2,59940.02485030004,1.2042587488000436,17.74931199997809,0.9872709735029666,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",128,3,58744.65745245387,1.1992090099998336,16.634059000011803,0.9877932327482024,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",128,4,51972.345577279266,1.1623513751997165,8.06326600002194,0.9885660065466972,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",256,0,52092.24137794548,1.493804338700238,12.618017000022519,0.9882301693480924,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",256,1,52526.99990223085,1.0276614651999352,15.60193000000254,0.9875086824863899,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",256,2,55265.610058947466,0.9341171169999256,6.626731999972435,0.987000008668215,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",256,3,46829.32194765347,1.4576962427005242,9.241492000001017,0.9886214595700927,128
500,0.5,"IO Dominant (500 iter, 0.5ms)",256,4,49848.68009443451,1.203253070499909,10.170271999982106,0.9881483833646765,128
1000,0.1,"Balanced (1000 iter, 0.1ms)",8,0,33719.564645073915,0.22634185309957502,0.37506600006054214,0.9033106468447714,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",8,1,34447.164484411005,0.22594679740009269,0.39321500003097754,0.9030311328734968,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",8,2,36157.943944758284,0.214107198599811,0.4106190000356946,0.9046235502449521,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",8,3,34563.66453152052,0.22310146889927865,0.4134600000043065,0.9048700394521133,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",8,4,34363.298169429254,0.22732724159905046,0.45821999992767815,0.9090992211016872,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",16,0,34857.93578554677,0.44602136080034144,3.6468810000087615,0.9377437362074309,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",16,1,36098.660642956296,0.427186680499733,1.7032419999623016,0.9435284717009061,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",16,2,36808.7528328439,0.41460497960019893,1.4888169999949241,0.9428463896951974,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",16,3,34241.48602571913,0.42998972950063036,2.852749999988191,0.9388624199543768,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",16,4,36091.502758059745,0.42893662900005436,1.5006380000386343,0.9420553676222586,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",32,0,37759.720609482334,0.709558325499222,9.297235999952136,0.9579500888430478,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",32,1,35873.58557402124,0.7303297028997463,7.587138999952003,0.9533631746397998,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",32,2,36042.1447574514,0.8051764748006235,9.48387999994793,0.9562682569637865,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",32,3,35064.20155370907,0.749088025800529,9.274929000071097,0.9555978193923774,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",32,4,36288.278277565354,0.7943261138001845,10.169208000093022,0.9549337637650421,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",64,0,36064.30291174287,1.2725583436009515,10.868522000009762,0.9689535686791687,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",64,1,35274.300296149144,1.1225919538001108,3.6655019999898286,0.968047893380183,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",64,2,36123.078205281236,1.1157252860002358,12.873270000000048,0.959529146300138,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",64,3,34890.96607990982,1.4713483527001017,16.779763000045023,0.9676643195773573,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",64,4,39475.63300826806,1.0943553779000126,11.710493000009592,0.9628410327072514,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",128,0,36086.46085067104,1.691817643399895,11.937882000097488,0.9703052114690967,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",128,1,29753.09616297651,2.399363225499201,44.06817999995383,0.9746852716477865,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",128,2,35797.374616975205,2.1766228449993945,25.981250999961958,0.9649577682687417,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",128,3,34650.970682493244,2.148279702300806,38.85734699997556,0.9669645593197448,16
1000,0.1,"Balanced (1000 iter, 0.1ms)",128,4,37170.90143038402,1.0227804847007633,11.074449000034292,0.9579219504972517,16
