threads,tps_mean,tps_margin,tps_cv,p99_pooled,p99_median,p99_iqr,n_runs
1,5012,73,2.0,0.3,0.3,0.0,10
2,9954,232,3.3,0.3,0.3,0.0,10
4,15308,435,4.0,0.5,0.5,0.1,10
8,18832,695,5.2,1.0,0.9,0.1,10
16,18733,370,2.8,2.2,2.2,0.2,10
32,19833,833,5.9,4.1,4.0,0.4,10
64,18681,1299,9.7,9.3,9.1,1.7,10
128,17921,607,4.7,20.3,20.1,5.0,10
256,19116,248,1.8,25.5,25.5,0.2,10
512,17392,512,4.1,25.6,25.6,5.1,10
1024,16444,449,3.8,25.3,25.3,5.0,10
2048,12877,477,5.2,20.0,17.1,5.0,10
