threads,run,elapsed,tps,avg_lat,p50_lat,p95_lat,p99_lat
1,0,4.092120491,4887.441619567892,0.1855968368500015,0.17478799999981476,0.22125799999983542,0.27790900000024266
1,1,4.248037452999999,4708.056419294476,0.19174701264999677,0.17760400000099708,0.2372099999998767,0.32248700000003794
1,2,4.239208125999999,4717.86225293719,0.191252334200004,0.1788259999990771,0.24065399999884107,0.32347099999974205
2,0,2.1567844340000004,9273.063957953249,0.19719373870000637,0.1793199999973183,0.2460550000016326,0.3621679999987748
2,1,2.1449464719999973,9324.242008403846,0.19655182009999095,0.17969099999959326,0.24041100000005144,0.3444260000016186
2,2,2.0870910500000015,9582.715617509828,0.19165639004999663,0.17753600000247616,0.22241899999997372,0.3112799999982485
4,0,1.2973175420000018,15416.426088841072,0.24272821250002324,0.22043199999899343,0.32696299999912526,0.4950440000008882
4,1,1.2964338819999988,15426.934051697377,0.2440149153000027,0.22041199999733863,0.32531299999760677,0.4966139999993402
4,2,1.3146670249999985,15212.977597882644,0.24782577174998616,0.22127899999802025,0.34044499999907885,0.5267899999985559
8,0,1.0785021209999996,18544.237985786964,0.41212319715000323,0.37935900000007905,0.6793250000001194,0.9844560000011882
8,1,1.1016302409999987,18154.91192566129,0.4233796091999972,0.3826009999983171,0.7024229999998965,1.0200060000009614
8,2,1.1083464819999982,18044.898707045322,0.42865341134999857,0.38522199999846407,0.7114239999985728,1.0171800000016162
16,0,1.0576133230000018,18910.503078070593,0.812956744449988,0.7350590000001489,1.450581000000284,2.252005000002555
16,1,1.071729830999999,18661.41953083325,0.8154730411499885,0.7362509999992994,1.4817830000026788,2.364276000001553
16,2,1.121826236000004,17828.072974395945,0.8557157360999914,0.7758379999955878,1.6161900000000173,2.577691999999132
32,0,1.1111042220000016,18000.111604291942,1.6449480420000313,1.5501350000022285,3.2821909999967147,5.121438000003309
32,1,1.1294496579999986,17707.73921470347,1.6618340126499866,1.579216000003214,3.303006000002995,5.045262999999522
32,2,1.1045852150000002,18106.344108543944,1.6229345855499921,1.5477239999981407,3.2118649999972604,4.701965999998947
64,0,1.0652287580000035,18775.309856964952,2.9771989741999785,2.9577410000030113,6.130988999998976,8.971449999997105
64,1,1.0097175579999984,19807.51928253587,2.8501811943999957,2.8584200000025817,5.894398999998884,8.514771999998061
64,2,1.0024920430000037,19950.283036810026,2.8171442290499966,2.806550999999047,5.757324999997593,8.404053999996108
128,0,1.0265637569999981,19482.472339026903,4.983406398200005,5.141117000000861,10.289856999996516,18.910062999999866
128,1,1.0336249320000022,19349.37846487623,5.051792374549997,5.1439659999985565,10.315839000000437,20.28989000000081
128,2,1.021207357999998,19584.66108114356,4.945260103100014,5.13971100000532,10.285799000001816,20.104468000006648
256,0,1.0722790079999953,18651.861922862605,5.508660217399983,5.149132000006773,15.318363000005775,25.52950399999787
256,1,1.0458737580000061,19122.766822494348,5.674480614450037,5.159927000001119,15.36554399999801,30.535974999999382
256,2,1.0566484920000008,18927.770352602733,5.466548410149965,5.140743999994868,15.315927999999701,25.65241900000359
512,0,1.0913686990000002,18325.612616822902,4.982602882949986,4.986195999997278,15.186258999996483,25.350103999997486
512,1,1.0896499750000004,18354.517926731467,5.1468007593500165,5.090946999999346,15.278748000000064,25.52482299999781
512,2,1.0939327849999998,18282.65892954292,5.156904374850006,5.104438999993022,15.279236000004914,25.516272000004392
1024,0,1.263153568,15833.387567963551,4.942740194650013,4.939939999999865,15.306875000000275,30.036668999997573
1024,1,1.2784989359999983,15643.345048509314,4.784495091249963,4.771427000001438,15.268573000000174,25.50366999999909
1024,2,1.3242355089999975,15103.053697074693,4.998686338800015,4.8420299999989425,15.328525000001036,30.400710999998637
2048,0,1.562597916999998,12799.197914200231,3.7879787797500475,3.2376989999960415,10.308635000001232,20.441843000000404
2048,1,1.4840121459999978,13476.978644620898,3.5944743085999855,2.995448999996597,10.284579000000349,20.395641000000353
2048,2,1.5702384050000049,12736.919397917756,3.699993883200036,3.2444029999965096,10.293771000000618,20.436255999996433
