strategy,threads_or_workers,run,tps,avg_lat_ms,p99_lat_ms,memory_mb
ThreadPool-16,16,0,19425.48845924894,0.7726986863999343,3.464838000013515,18.33203125
ThreadPool-16,16,1,20129.505589753408,0.7319436154994208,1.9980479999617273,8.1484375
ThreadPool-16,16,2,19804.095785257054,0.7331991082002446,1.8882940000253257,7.02734375
ThreadPool-16,16,3,20435.986777893148,0.7224926553999239,1.8767400000001544,6.87109375
ThreadPool-16,16,4,20369.329222284832,0.7236343085000385,1.8601540000418026,6.08984375
ThreadPool-16,16,5,19801.710698697232,0.7336193638992995,1.745930000026874,4.234375
ThreadPool-16,16,6,18928.653720892857,0.7874181227998633,1.9863669999722333,2.140625
ThreadPool-16,16,7,18090.373579997686,0.81223361270022,2.4425350000001345,2.08203125
ThreadPool-16,16,8,18796.240490258446,0.779246071199583,1.988725999979124,0.99609375
ThreadPool-16,16,9,19196.218510809595,0.7769661082999164,1.9391000000155145,0.9453125
ThreadPool-32,32,0,18699.19400938815,1.5044262502004357,4.18106600000101,0.3125
ThreadPool-32,32,1,19195.601928255543,1.489999025400118,4.02057399998057,0.296875
ThreadPool-32,32,2,18338.61890841383,1.5550508735998734,5.294101000004048,0.984375
ThreadPool-32,32,3,19388.797287484234,1.4828066500997295,4.012782000017978,0.06640625
ThreadPool-32,32,4,19453.63928811043,1.4799871840001741,4.14569700001266,0.046875
ThreadPool-32,32,5,20457.700668966354,1.3861481159999016,3.800234999971508,0.11328125
ThreadPool-32,32,6,20673.74592648849,1.385166120500162,3.9563809999663135,0.85546875
ThreadPool-32,32,7,20286.295086398284,1.3655313148000061,3.776260000051934,0.03125
ThreadPool-32,32,8,20743.953558120436,1.3668719361003354,3.6740280000344683,0.0859375
ThreadPool-32,32,9,20687.229002729488,1.380840205399977,3.8149389999944106,0.96875
ThreadPool-64,64,0,20082.479667790853,2.5480644212003143,7.456427000022359,0.48828125
ThreadPool-64,64,1,19424.868418174996,2.718145306699546,7.305545999997776,0.265625
ThreadPool-64,64,2,18851.120674901424,2.7045784706999085,6.506630000046698,0.1015625
ThreadPool-64,64,3,19283.744458105113,2.7473259176000453,6.757635999974809,0.64453125
ThreadPool-64,64,4,19629.57249667022,2.661204398499649,5.965989999992871,0.4140625
ThreadPool-64,64,5,19152.090490993953,2.726857988200146,7.667966999974851,0.3125
ThreadPool-64,64,6,19583.95762094132,2.698682739299602,6.101272000023528,0.66015625
ThreadPool-64,64,7,19182.332182000187,2.7047266459996875,6.365470999980971,0.25390625
ThreadPool-64,64,8,19556.097052583475,2.6958230355002115,5.972337999992305,0.234375
ThreadPool-64,64,9,19423.465962774506,2.7159790485000257,6.173703000001751,0.89453125
ThreadPool-128,128,0,19005.992051423982,3.9020360231001403,10.224902000004477,0.8984375
ThreadPool-128,128,1,20447.219457462663,3.7993482566003594,10.2174419999983,0.50390625
ThreadPool-128,128,2,19979.866168982404,3.7542712854002787,10.152385999958824,1.1171875
ThreadPool-128,128,3,20052.381351929354,3.7283987840003534,10.130039999978635,0.28125
ThreadPool-128,128,4,20409.057431928086,3.730899168799965,10.203624999974181,0.16796875
ThreadPool-128,128,5,20143.201362257274,3.7661632841002755,10.218123000015567,-0.15625
ThreadPool-128,128,6,20136.998728104525,3.9269994989000963,14.86998500001846,0.984375
ThreadPool-128,128,7,18431.69784896917,4.035737479900092,15.123964999986583,0.4453125
